CONSTTK const 1
FLOATTK float 1
IDENFR e 1
ASSIGN = 1
FLOATCON 2.718281828459045 1
SEMICN ; 1
FLOATTK float 3
IDENFR my_fabs 3
LPARENT ( 3
FLOATTK float 3
IDENFR x 3
RPARENT ) 3
LBRACE { 3
IFTK if 4
LPARENT ( 4
IDENFR x 4
GRE > 4
INTCON 0 4
RPARENT ) 4
RETURNTK return 4
IDENFR x 4
SEMICN ; 4
RETURNTK return 5
MINU - 5
IDENFR x 5
SEMICN ; 5
RBRACE } 6
FLOATTK float 8
IDENFR my_pow 8
LPARENT ( 8
FLOATTK float 8
IDENFR a 8
COMMA , 8
INTTK int 8
IDENFR n 8
RPARENT ) 8
LBRACE { 8
IFTK if 9
LPARENT ( 9
IDENFR n 9
LSS < 9
INTCON 0 9
RPARENT ) 9
RETURNTK return 9
INTCON 1 9
DIV / 9
IDENFR my_pow 9
LPARENT ( 9
IDENFR a 9
COMMA , 9
MINU - 9
IDENFR n 9
RPARENT ) 9
SEMICN ; 9
FLOATTK float 10
IDENFR res 10
ASSIGN = 10
FLOATCON 1.0 10
SEMICN ; 10
WHILETK while 11
LPARENT ( 11
IDENFR n 11
RPARENT ) 11
LBRACE { 11
IFTK if 12
LPARENT ( 12
IDENFR n 12
MOD % 12
INTCON 2 12
RPARENT ) 12
IDENFR res 12
ASSIGN = 12
IDENFR res 12
MULT * 12
IDENFR a 12
SEMICN ; 12
IDENFR a 13
ASSIGN = 13
IDENFR a 13
MULT * 13
IDENFR a 13
SEMICN ; 13
IDENFR n 14
ASSIGN = 14
IDENFR n 14
DIV / 14
INTCON 2 14
SEMICN ; 14
RBRACE } 15
RETURNTK return 16
IDENFR res 16
SEMICN ; 16
RBRACE } 17
FLOATTK float 19
IDENFR my_sqrt 19
LPARENT ( 19
FLOATTK float 19
IDENFR x 19
RPARENT ) 19
LBRACE { 19
IFTK if 20
LPARENT ( 20
IDENFR x 20
GRE > 20
INTCON 100 20
RPARENT ) 20
RETURNTK return 20
FLOATCON 10.0 20
MULT * 20
