CONSTTK const 1
INTTK int 1
IDENFR a 1
LBRACK [ 1
INTCON 3 1
RBRACK ] 1
LBRACK [ 1
INTCON 3 1
RBRACK ] 1
LBRACK [ 1
INTCON 3 1
RBRACK ] 1
ASSIGN = 1
LBRACE { 1
INTCON 1 1
COMMA , 1
INTCON 2 1
COMMA , 1
INTCON 3 1
COMMA , 1
LBRACE { 1
INTCON 1 1
RBRACE } 1
COMMA , 1
LBRACE { 1
INTCON 1 1
RBRACE } 1
COMMA , 1
LBRACE { 1
INTCON 1 1
RBRACE } 1
COMMA , 1
LBRACE { 1
INTCON 1 1
RBRACE } 1
RBRACE } 1
SEMICN ; 1
INTTK int 3
MAINTK main 3
LPARENT ( 3
RPARENT ) 3
LBRACE { 4
RETURNTK return 6
INTCON 0 6
SEMICN ; 6
RBRACE } 7
